"Notes"	"County of Residence"	"County of Residence Code"	Births	Total Population	Birth Rate
	"Unidentified Counties, TX"	"48999"	56446	4764624	11.847
	"Cache County, UT"	"49005"	2037	128289	15.878
	"Davis County, UT"	"49011"	5098	355481	14.341
	"Salt Lake County, UT"	"49035"	16031	1160437	13.815
	"Utah County, UT"	"49049"	11645	636235	18.303
	"Washington County, UT"	"49053"	2116	177556	11.917
	"Weber County, UT"	"49057"	3575	260213	13.739
	"Unidentified Counties, UT"	"49999"	6324	487747	12.966
	"Chittenden County, VT"	"50007"	1398	163774	8.536
	"Unidentified Counties, VT"	"50999"	3963	460215	8.611
	"Arlington County, VA"	"51013"	2650	236842	11.189
	"Chesterfield County, VA"	"51041"	3904	352802	11.066
	"Fairfax County, VA"	"51059"	13376	1147532	11.656
	"Henrico County, VA"	"51087"	3695	330818	11.169
	"Loudoun County, VA"	"51107"	4909	413538	11.871
	"Prince William County, VA"	"51153"	6386	470335	13.578
	"Spotsylvania County, VA"	"51177"	1568	136215	11.511
	"Stafford County, VA"	"51179"	1763	152882	11.532
	"Alexandria city, VA"	"51510"	2486	159428	15.593
	"Chesapeake city, VA"	"51550"	2945	244835	12.029
	"Hampton city, VA"	"51650"	1606	134510	11.940
	"Newport News city, VA"	"51700"	2752	179225	15.355
	"Norfolk city, VA"	"51710"	3338	242742	13.751
	"Richmond city, VA"	"51760"	3092	230436	13.418
	"Virginia Beach city, VA"	"51810"	5458	449974	12.130
	"Unidentified Counties, VA"	"51999"	37501	3653405	10.265
	"Benton County, WA"	"53005"	2551	204390	12.481
	"Clark County, WA"	"53011"	5591	488241	11.451
	"Cowlitz County, WA"	"53015"	1238	110593	11.194
	"King County, WA"	"53033"	24113	2252782	10.704
	"Kitsap County, WA"	"53035"	2953	271473	10.878
	"Pierce County, WA"	"53053"	11054	904980	12.215
	"Skagit County, WA"	"53057"	1393	129205	10.781
	"Snohomish County, WA"	"53061"	9667	822083	11.759
	"Spokane County, WA"	"53063"	5827	522798	11.146
	"Thurston County, WA"	"53067"	3060	290536	10.532
	"Whatcom County, WA"	"53073"	1991	229247	8.685
	"Yakima County, WA"	"53077"	3488	250873	13.903
	"Unidentified Counties, WA"	"53999"	11969	1137692	10.520
	"Berkeley County, WV"	"54003"	1450	119171	12.167
	"Kanawha County, WV"	"54039"	1757	178124	9.864
	"Unidentified Counties, WV"	"54999"	14929	1494852	9.987
	"Brown County, WI"	"55009"	3104	264542	11.733
	"Dane County, WI"	"55025"	5766	546695	10.547
	"Fond du Lac County, WI"	"55039"	1023	103403	9.893
	"Kenosha County, WI"	"55059"	1838	169561	10.840
	"La Crosse County, WI"	"55063"	1124	118016	9.524
	"Marathon County, WI"	"55073"	1514	135692	11.158
	"Milwaukee County, WI"	"55079"	13064	945726	13.814
	"Outagamie County, WI"	"55087"	2228	187885	11.858
	"Racine County, WI"	"55101"	2331	196311	11.874
	"Rock County, WI"	"55105"	1832	163354	11.215
	"Sheboygan County, WI"	"55117"	1199	115340	10.395
	"Walworth County, WI"	"55127"	945	103868	9.098
	"Washington County, WI"	"55131"	1284	136034	9.439
	"Waukesha County, WI"	"55133"	3724	404198	9.213
	"Winnebago County, WI"	"55139"	1741	171907	10.128
	"Unidentified Counties, WI"	"55999"	20553	2059902	9.978
	"Unidentified Counties, WY"	"56999"	6565	578759	11.343
"Total"			3747540	328239523	11.417
"---"
"Dataset: Natality, 2016-2019 expanded"
"Query Parameters:"
"Year: 2019"
"Group By: County of Residence"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality-expanded.html for more information."
"---"
"Query Date: May 23, 2021 5:20:28 PM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers for Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics, Natality public-use data 2016-2019, on CDC"
"WONDER Online Database, October 2020. Accessed at http://wonder.cdc.gov/natality-expanded-current.html on May 23, 2021 5:20:28"
"PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
"3. Birth rates are calculated as the number of births divided by total population in the given year(s). When the numerator is"
"sub-set by mother's race, mother's hispanicity, location, or year of birth, then the same sub-set for age, race, hispanicity,"
"location and year applies to the denominator population."
"4. Birth rates and fertility rates are calculated using the following populations: The populations for year 2019 are from the"
"postcensal single-race series of July 1st estimates of the resident population, released by Census Bureau on June 25, 2020; and"
"the postcensal bridged-race series of July 1st estimates of the resident population, released by NCHS on July 9, 2020. The"
"populations for year 2018 are from the postcensal single-race series of July 1st estimates of the resident population, released"
"by Census Bureau on June 21, 2019; and the postcensal bridged-race series of July 1st estimates of the resident population,"
"released by NCHS on June 27, 2019. The populations for year 2017 are from the postcensal single-race series of July 1st"
"estimates of the resident population, released by Census Bureau on June 21, 2018; and the postcensal bridged-race series of July"
"1st estimates of the resident population, released by NCHS on June 27, 2018. The populations for year 2016 are from the"
"postcensal single-race series of July 1st estimates of the resident population, released by Census Bureau on June 22, 2017; and"
"the postcensal bridged-race series of July 1st estimates of the resident population, released by NCHS on June 26, 2017. More"
"information: http://wonder.cdc.gov/wonder/help/Natality-expanded.html#Denominator-Population-Sources."
"5. The independent city of Baltimore, Maryland (FIPS code 24510) is reported separately from Baltimore County (FIPS code 24005)."
"6. The independent city of St. Louis, Missouri (FIPS code 29510) is reported separately from St. Louis County (FIPS code 29189)."
"7. Bronx, New York (FIPS code 36005) represents Bronx Borough, New York City."
"8. Kings County, New York (FIPS code 36047) represents Brooklyn Borough, New York City."
"9. New York County, New York (FIPS code 36061) represents Manhattan Borough, New York City."
"10. Queens, New York (FIPS code 36081) represents Queens Borough, New York City."
"11. Richmond County, New York (FIPS code 36085) represents Staten Island Borough, New York City."
